Key,File,Type,UsedInMainMenu,NoTranslate,english
extraCraftSpeed10,progression,perk Int,,,"[60CCFF]10% Faster Crafting"
extraCraftSpeed20,progression,perk Int,,,"[60CCFF]20% Faster Crafting"
extraCraftSpeed30,progression,perk Int,,,"[60CCFF]30% Faster Crafting"
extraCraftSpeed40,progression,perk Int,,,"[60CCFF]40% Faster Crafting"
extraCraftSpeed50,progression,perk Int,,,"[60CCFF]50% Faster Crafting"
extraCraftTierName,progression,perk Int,,,"[60CCFF]Crafting Tiers"
extraCraftTierDesc,progression,perk Int,,,"[60CCFF]Your understanding of smashing materials together to inflict harm on the undead knows no bounds. You can now craft items up to tier 6."
extraCraftTier2Desc,progression,perk Int,,,"[60CCFF]You can craft Tier 2 items."
extraCraftTier3Desc,progression,perk Int,,,"[60CCFF]You can craft Tier 3 items."
extraCraftTier4Desc,progression,perk Int,,,"[60CCFF]You can craft Tier 4 items."
extraCraftTier5Desc,progression,perk Int,,,"[60CCFF]You can craft Tier 5 items."
extraCraftTier6Desc,progression,perk Int,,,"[60CCFF]You can craft Tier 6 items."
extraCraftTier2,progression,perk Int,,,"[60CCFF]Tier 2 Crafting"
extraCraftTier3,progression,perk Int,,,"[60CCFF]Tier 3 Crafting"
extraCraftTier4,progression,perk Int,,,"[60CCFF]Tier 4 Crafting"
extraCraftTier5,progression,perk Int,,,"[60CCFF]Tier 5 Crafting"
extraCraftTier6,progression,perk Int,,,"[60CCFF]Tier 6 Crafting"
extraLootBagsName,progression,perk Int,,,"[60CCFF]More Loot Bags"
extraLootBagsDesc,progression,perk Int,,,"[60CCFF]Significantly increases the drop rate of zombie loot bags. Each perk level is more beneficial than the previous level."
extraLootBags1Desc,progression,perk Int,,,"[60CCFF]Increases the chance that zombies will drop loot bags on death.\n\nEach rank provides additional drop chance."
extraLootBags2Desc,progression,perk Int,,,"[60CCFF]Increases the chance that zombies will drop loot bags on death.\n\nProvides a higher drop chance than rank 1"
extraLootBags3Desc,progression,perk Int,,,"[60CCFF]Increases the chance that zombies will drop loot bags on death.\n\nProvides a higher drop chance than rank 2"
extraLootBags4Desc,progression,perk Int,,,"[60CCFF]Increases the chance that zombies will drop loot bags on death.\n\nProvides a higher drop chance than rank 3"
extraLootBags5Desc,progression,perk Int,,,"[60CCFF]Increases the chance that zombies will drop loot bags on death.\n\nProvides a significantly higher drop chance than previous ranks"
extraLootBags1,progression,perk Int,,,"[60CCFF]More Loot Bags"
extraLootBags2,progression,perk Int,,,"[60CCFF]Lots More Loot Bags"
extraLootBags3,progression,perk Int,,,"[60CCFF]Even More Loot Bags"
extraLootBags4,progression,perk Int,,,"[60CCFF]Many More Loot Bags"
extraLootBags5,progression,perk Int,,,"[60CCFF]ALL THE LOOT BAGS!"
extraLootQDukesName,progression,perk Int,,,"[60CCFF]Extra Quest Dukes"
extraLootQDukesDesc,progression,perk Int,,,"[60CCFF]Significantly increases the drop rate of zombie loot bags. Each perk level is more beneficial than the previous level."
extraLootQDukes1Desc,progression,perk Int,,,"[60CCFF]Increases the amount of dukes earned from quest rewards by 10%."
extraLootQDukes2Desc,progression,perk Int,,,"[60CCFF]Increases the amount of dukes earned from quest rewards by 20%."
extraLootQDukes3Desc,progression,perk Int,,,"[60CCFF]Increases the amount of dukes earned from quest rewards by 30%."
extraLootQDukes4Desc,progression,perk Int,,,"[60CCFF]Increases the amount of dukes earned from quest rewards by 40%."
extraLootQDukes5Desc,progression,perk Int,,,"[60CCFF]Increases the amount of dukes earned from quest rewards by 50%."
extraLootQDukes1,progression,perk Int,,,"[60CCFF]+10% Quest Dukes"
extraLootQDukes2,progression,perk Int,,,"[60CCFF]+20% Quest Dukes"
extraLootQDukes3,progression,perk Int,,,"[60CCFF]+30% Quest Dukes"
extraLootQDukes4,progression,perk Int,,,"[60CCFF]+40% Quest Dukes"
extraLootQDukes5,progression,perk Int,,,"[60CCFF]+50% Quest Dukes"
extraGoldDiggerName,progression,perk Int,,,"[60CCFF]More Mining Harvests"
extraGoldDiggerDesc,progression,perk Int,,,"[60CCFF]Grants you a chance to gain rarer resources when mining stone."
extraGoldDigger1Desc,progression,perk Int,,,"[60CCFF]Allows you to occasionally harvest Iron and Lead from stone."
extraGoldDigger2Desc,progression,perk Int,,,"[60CCFF]Allows you to occasionally harvest Coal and Oil Shale from stone."
extraGoldDigger3Desc,progression,perk Int,,,"[60CCFF]Allows you to occasionally harvest Brass and Nitrate Powder from stone."
extraGoldDigger4Desc,progression,perk Int,,,"[60CCFF]Allows you to occasionally harvest Silver Nuggets, Gold Nuggets and Raw Diamonds from stone."
extraGoldDigger5Desc,progression,perk Int,,,"[60CCFF]Allows you to very rarely harvest Adamantium from stone."
extraGoldDigger1,progression,perk Int,,,"[60CCFF]Harvest Iron & Lead"
extraGoldDigger2,progression,perk Int,,,"[60CCFF]Harvest Coal & Oil"
extraGoldDigger3,progression,perk Int,,,"[60CCFF]Harvest Brass & Nitrate"
extraGoldDigger4,progression,perk Int,,,"[60CCFF]Harvest Rare Gems"
extraGoldDigger5,progression,perk Int,,,"[60CCFF]Harvest Adamantium"
