Key,File,Type,UsedInMainMenu,NoTranslate,english
perkPilotTrainingDesc,progression,perk Per,,,"[60CCFF]This comprehensive training course will reward you with the knowledge to obtain your very own Pilot's Handbook."
itemFertileSoil,Items,Resources,,,"[60CCFF]Fertile soil"
itemFertileSoilDesc,Items,Resources,,,"[60CCFF]Fertile Soil can be used to create farm plots for the green-thumbed survivor."
itemSkillbookPage,Items,Resources,,,"[60CCFF]Page from a Book of Skill"
itemSkillbookPageDesc,Items,Resources,,,"[60CCFF]Ten of these pages can be crafted into a Book of Skill, granting 1 skill point upon use."
drinkJarPineTea,Items,CFDrink/Cooking,,,"[60CCFF]Pinecone Tea"
drinkJarPineTeaDesc,Items,CFDrink/Cooking,,,"[60CCFF]One of the oldest known drinks, Pinecone Tea can cure dysentery and mild infections with its antibiotic properties.\n\nUnlocked by Master Chef 2"
drinkJarAcornCoffee,Items,CFDrink/Cooking,,,"[60CCFF]Acorn Coffee"
drinkJarAcornCoffeeDesc,Items,CFDrink/Cooking,,,"[60CCFF]Made using a classic recipe, drinking Acorn Coffee will keep you warm and improve your wellbeing.\n\nUnlocked by Master Chef 1."
drinkJarGrassSmoothie,Items,CFDrink/Cooking,,,"[60CCFF]Grass Clipping Smoothie"
drinkJarGrassSmoothieDesc,Items,CFDrink/Cooking,,,"[60CCFF]A traditional drink with an earthy taste which is packed with vitamins and minerals. Provides extra resistance against infections.\n\nUnlocked by Master Chef 3."
perkAdvancedEngineeringRank1Desc,progression,perk,,,[60CCFF]Blacksmith,,
perkAdvancedEngineeringRank2Desc,progression,perk,,,[60CCFF]Tinkerer,,
perkAdvancedEngineeringRank3Desc,progression,perk,,,[60CCFF]Electrician,,
perkAdvancedEngineeringRank4Desc,progression,perk,,,[60CCFF]Inventor,,
perkAdvancedEngineeringRank5Desc,progression,perk,,,[60CCFF]Advanced Engineer,,
perkAdvancedEngineeringRank1LongDesc,progression,perk,,,"[60CCFF]You are now a blacksmith and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster, craft glue cheaper, and craft in workbenches and cement mixers 20% faster.",,
perkAdvancedEngineeringRank2LongDesc,progression,perk,,,"[60CCFF]Your tinkering is proving useful in the apocalypse. Craft workbenches and cement mixers and craft items with them 30% faster.",,
perkAdvancedEngineeringRank3LongDesc,progression,perk,,,"[60CCFF]You are now an electrician. Learn to craft generators, and build advanced base defense systems such as electric fences & blade traps. Craft military fiber. Gain 30% XP from electrical trap kills.\nEfficient craftsman. All forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less. Workbench and cement mixer crafting is 40% faster.",,
perkAdvancedEngineeringRank4LongDesc,progression,perk,,,"[60CCFF]Learn to craft shotgun turrets for short range concentrated base defense, battery banks and nail guns. Gain 60% XP from electrical trap kills.\nAll forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less. Workbench and cement mixer crafting is 50% faster.",,
perkAdvancedEngineeringRank5LongDesc,progression,perk,,,"[60CCFF]Learn to craft SMG auto turrets for the best ranged base defense, and crucibles to forge steel in forges. Gain 100% XP from Electrical Trap Kills.\nAll forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less. Workbench and cement mixer crafting is 60% faster.",,
modMeleeStructuralBrace_2,item_modifiers,mod,,,"[60CCFF]Tri-Handle Mod"
modMeleeStructuralBrace_2Desc,item_modifiers,mod,,,"[60CCFF]Decreases melee stamina usage by 10% and increases weapon handling of bows by 10%, lowers degradation by 25% and while below 50% health, restores 1 health every 5 seconds."
modGunBarrelExtender_2,item_modifiers,mod,,,"[60CCFF]Silenced Destruction Mod"
modGunBarrelExtender_2Desc,item_modifiers,mod,,,"[60CCFF]Increases damage, range and aimed accuracy and surpresses firing noise, making you harder to detect."
modGunMeleeRadRemover_2,item_modifiers,mod,,,"[60CCFF]Damage Equality Mod"
modGunMeleeRadRemover_2Desc,item_modifiers,mod,,,"[60CCFF]Negates the regeneration effect of radiated zombies for 90 seconds, and deals 100% increased damage to living beings."
modArmorInsulatedLiner_2,item_modifiers,mod,,,"[60CCFF]Thermal Protection Mod"
modArmorInsulatedLiner_2Desc,item_modifiers,mod,,,"[60CCFF]Combines the benefits of the Cooling Mesh and Insulated Liner, protecting against hot and cold weather."
foodCookedRibs,,item,Food,newKey,[60CCFF]Crispy Wolf Ribs
foodCookedRibsDesc,,item,Food,newKey,"[60CCFF]A tasty treat. Smother in barbecue sauce for a messier eating experience."
foodGrilledChickenLeg,,item,Food,newKey,[60CCFF]Fried Chicken
foodGrilledChickenLegDesc,,item,Food,newKey,"[60CCFF]Great taste on your lips, great weight on your hips."
foodChickenLeg,,item,Food,newKey,[60CCFF]Raw Chicken Leg
foodChickenLegDesc,,item,Food,newKey,"[60CCFF]Guaranteed to cause fatal food poisoning if eaten raw. You may not be the Colonel, but I'm sure you can cook some decent fried chicken with this."
foodRawRibs,,item,Food,newKey,[60CCFF]Raw Wolf Ribs
foodRawRibsDesc,,item,Food,newKey,"[60CCFF]Guaranteed to cause fatal food poisoning if eaten raw. Baked, smoked or grilled, these ribs would pair fantastically with BBQ sauce!"
foodCropWheat,,item,Food,newKey,[60CCFF]Wheat
foodCropWheatDesc,,item,Food,newKey,"[60CCFF]Wheat can be processed into flour.\n\nNow gluten free, so gluten can't not hurt anyone ever again..."
foodBakingFlour,,item,Food,newKey,[60CCFF]Flour
foodBakingFlourDesc,,item,Food,newKey,[60CCFF]Basic white flour.
foodRapeseedOil,,item,Food,newKey,[60CCFF]Rapeseed Oil
foodRapeseedOilDesc,,item,Food,newKey,"[60CCFF]Rapeseed Oil is a flavourless vegetable oil that can be used in many recipes.\n\nOnly available from traders."
foodBearEggSandwich,,item,Food,newKey,"[60CCFF]Bear Steak & Golden Egg Sandwich"
foodBearEggSandwichDesc,,item,Food,newKey,"[60CCFF]The ultimate indulgence for the hungriest survivor.\n\nThis protein rich sandwich will leave you full all day, provide extra stamina, extinguish fires and probably give you sexual favours... It's that good!"
chestReward1,,item,Food,newKey,[60CCFF]Quest Reward Chest
chestReward1Desc,,item,Food,newKey,"[60CCFF]This chest contains one or more rewards for a quest you completed.\n\nWell done!"
questSummonDesc,items,Quest - Challenge,,,"[60CCFF]Using this item will summon the relevent animals/zombies. Kill them to complete the quest.\n\nThis quest provides resources rather than experience and will be auto-completed when the objectives are met."
itemSpawnerBookBear,Items,Resources,,,"[60CCFF]Resource Challenge: Bear"
chestRewardBearDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Bear"
chestRewardBear,Items,Resources,,,"[60CCFF]Resource Challenge: Bear"
itemSpawnerBookDirewolf,Items,Resources,,,"[60CCFF]Resource Challenge: Dire Wolf"
chestRewardDirewolfDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Dire Wolf"
chestRewardDirewolf,Items,Resources,,,"[60CCFF]Resource Challenge: Bear"
itemSpawnerBookPig,Items,Resources,,,"[60CCFF]Resource Challenge: Boar"
chestRewardPigDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Boar"
chestRewardPig,Items,Resources,,,"[60CCFF]Resource Challenge: Boar"
itemSpawnerBookChickens,Items,Resources,,,"[60CCFF]Resource Challenge: Chicken"
chestRewardChickensDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Chicken"
chestRewardChickens,Items,Resources,,,"[60CCFF]Resource Challenge: Chicken"
itemSpawnerBookNurse,Items,Resources,,,"[60CCFF]Resource Challenge: Nurse"
chestRewardNurseDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Nurse"
chestRewardNurse,Items,Resources,,,"[60CCFF]Resource Challenge: Nurse"
itemSpawnerBookWorkmen,Items,Resources,,,"[60CCFF]Resource Challenge: Workmen"
chestRewardWorkmenDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Workmen"
chestRewardWorkmen,Items,Resources,,,"[60CCFF]Resource Challenge: Workmen"
itemSpawnerBookCop,Items,Resources,,,"[60CCFF]Resource Challenge: Cop"
chestRewardCopDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Cop"
chestRewardCop,Items,Resources,,,"[60CCFF]Resource Challenge: Cop"
itemSpawnerBookDemo,Items,Resources,,,"[60CCFF]Resource Challenge: Demolisher"
chestRewardDemoDesc,Items,Resources,,,"[60CCFF]Your reward for completing the quest - Resource Challenge: Demolisher"
chestRewardDemo,Items,Resources,,,"[60CCFF]Resource Challenge: Demolisher"
resourceAmmoToken,Items,Resources,,,"[60CCFF]Ammo Token"
resourceAmmoTokenDesc,Items,Resources,,,"[60CCFF]This token is obtained by completing the Resource Challenge: Demolisher.\n\nA stack of 250 of any ammo, arrow or bolt can be crafted using this token."
toolAdamantiumBellows,Items,Resources,,,"[60CCFF]Adamantium-Enriched Bellows"
toolAdamantiumAnvil,Items,Resources,,,"[60CCFF]Adamantium-Enriched Anvil"
toolAdamantiumBellowsDesc,Items,Resources,,,"[60CCFF]An improved bellow that can be installed in the Advanced Forge.\n\nIt increases the smelting speed and crafting speed of the forge."
toolAdamantiumAnvilDesc,Items,Resources,,,"[60CCFF]An improved anvil that can be installed in the Advanced Forge.\n\nIt increases the smelting speed and crafting speed of the forge."
forgeAdv,Items,Resources,,,"[60CCFF]Advanced Forge"
forgeAdvDesc,Items,Resources,,,"[60CCFF]An improved forge that can be augmented by Adamantium-Enriched tools."
glassBulletproofCTRPlatePlayer,blocks,Block,,,"[60CCFF]Bulletproof Glass Plate Centered"
glassBulletproofPlatePlayer,blocks,Block,,,"[60CCFF]Bulletproof Glass Plate"
glassBulletproofBlockPlayer,blocks,Block,,,"[60CCFF]Bulletproof Glass Block"
glassBulletproofRampPlayer,blocks,Block,,,"[60CCFF]Bulletproof Glass Ramp"
glassBulletproofRampSheetPlayer,blocks,Block,,,"[60CCFF]Bulletproof Glass Ramp Sheet"
glassBulletproofPlateCurvedPlayer,blocks,Block,,,"[60CCFF]Bulletproof Glass Curved Plate"
windowStoreFourSidedBulletproofPlayer,blocks,Block,,,"[60CCFF]Window Store Four Sided Bulletproof"
glassBulletproofBlockVariantHelper,blocks,Block,,,"[60CCFF]Bulletproof Glass Block"
buffHarmonyHCModeName,UI,Tooltip,,,"[EB1D0E]Harmony Test Buff"
buffHarmonyHCModeDesc,UI,Tooltip,,,"[EB1D0E]This is a test buff which is applied automatically. It should be a permanent buff that persists through death, gaining a level and logging in or out.\n\nIf you notice this buff has vanished, or notice it coming and going, let Scott know."
buffHarmonyHCModeTooltip,UI,Tooltip,,,"[EB1D0E]You've gained a buff and it came with this cool tooltip. That's pretty neat."
buffHarmonyHCModeRemoved,UI,Tooltip,,,"[EB1D0E]Harmony Test Buff has been removed\nTHIS IS NOT MEANT TO HAPPEN - Report to Scott!"
boxMedicalSupplies,,item,Food,newKey,[60CCFF]Medical Supply Bag
boxMedicalSuppliesDesc,,item,Food,newKey,"[60CCFF]This bag contains several medical items.\n\nProvided by a mystery benefactor to assist your journey through the end of the world."
jailDoor,blocks,Block,,,"[60CCFF]Jail Door"
jailDoorDesc,blocks,Block,,,"[60CCFF]You're not going anywhere!"
jailDoorPowered,blocks,Block,,,"[60CCFF]Powered Jail Door"
jailDoorPoweredDesc,blocks,Block,,,"[60CCFF]No way out!"
perkGreaseMonkeyDesc,progression,perk Int,,,"[60CCFF]Learn to build vehicles from junk in the wasteland!\n\nVehicles require the associated perk to craft from parts."
perkGreaseMonkeyName,progression,perk Int,,,"[60CCFF]Grease Monkey"
perkGreaseMonkeyRank1Desc,progression,perk Int,,,"[60CCFF]Bicycle Mechanic"
perkGreaseMonkeyRank1LongDesc,progression,perk Int,,,"[60CCFF]You can craft bicycles. Craft wheels and bicycle parts 33% cheaper."
perkGreaseMonkeyRank2Desc,progression,perk Int,,,"[60CCFF]Minibike Master"
perkGreaseMonkeyRank2LongDesc,progression,perk Int,,,"[60CCFF]You can craft minibikes, gas cans and bottles of acid. Craft minibike parts 33% cheaper."
perkGreaseMonkeyRank3Desc,progression,perk Int,,,"[60CCFF]Motor Vehicle Maniac"
perkGreaseMonkeyRank3LongDesc,progression,perk Int,,,"[60CCFF]You can craft motorcycles, 4x4 trucks and oil. Craft motorcycle and 4x4 parts 33% cheaper."
perkGreaseMonkeyRank4Desc,progression,perk Int,,,"[60CCFF]Avionics Wizard"
perkGreaseMonkeyRank4LongDesc,progression,perk Int,,,"[60CCFF]You can craft gyrocopters and more efficient stacks of gas cans. Craft gryocopter parts 33% cheaper."
perkGreaseMonkeyRank5Desc,progression,perk Int,,,"[60CCFF]Trained Pilot"
perkGreaseMonkeyRank5LongDesc,progression,perk Int,,,"[60CCFF]You can craft helicopters, big engines and rotors. You can also craft your pilot's license."
perkPhysicianRank1LongDesc,progression,perk Per,,,"Medical healing items heal 25% more health over time. Gain 40% more XP using bandages, first aid bandages, first aid kits and splints. Can craft chemistry stations, first aid bandages, plaster casts,[60CCFF]beakers and Biofuel"
quest_BasicSurvival1,Quest,Quest Info,,,Basic Survival 1/12
quest_BasicSurvival2,Quest,Quest Info,,,Basic Survival 2/12
quest_BasicSurvival3,Quest,Quest Info,,,Basic Survival 3/12
quest_BasicSurvival4,Quest,Quest Info,,,Basic Survival 4/12
quest_BasicSurvival5,Quest,Quest Info,,,Basic Survival 5/12
quest_BasicSurvival6,Quest,Quest Info,,,Basic Survival 6/12
quest_BasicSurvival7,Quest,Quest Info,,,Basic Survival 7/12
quest_BasicSurvival8,Quest,Quest Info,,,Basic Survival 8/12
quest_BasicSurvival9,Quest,Quest Info,,,Basic Survival 9/12
quest_BasicSurvival10,Quest,Quest Info,,,Basic Survival 10/12
quest_BasicSurvival11,Quest,Quest Info,,,Basic Survival 11/12
quest_BasicSurvival12,Quest,Quest Info,,,Basic Survival 12/12
quest_BasicSurvival3_subtitle,Quest,Quest Info,,,Craft a Stone Shovel
quest_BasicSurvival4_subtitle,Quest,Quest Info,,,Craft Plant Fiber Clothing
quest_BasicSurvival5_subtitle,Quest,Quest Info,,,Wear Plant Fiber Clothing
quest_BasicSurvival6_subtitle,Quest,Quest Info,,,Arm Yourself
quest_BasicSurvival7_subtitle,Quest,Quest Info,,,Test Your Weapons
quest_BasicSurvival8_subtitle,Quest,Quest Info,,,Craft Some Bandages
quest_BasicSurvival9_subtitle,Quest,Quest Info,,,Craft a Bone Knife
quest_BasicSurvival10_subtitle,Quest,Quest Info,,,Slaughter Livestock
quest_BasicSurvival11_subtitle,Quest,Quest Info,,,Prepare Some Food
quest_BasicSurvival12_subtitle,Quest,Quest Info,,,"Test Your Weapons... Again"
quest_BasicSurvival3_description,Quest,Quest Info,,,"Craft a Stone Shovel to help gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Shovel in the Basics category of the Crafting window. Craft a Stone Shovel."
quest_BasicSurvival4_description,Quest,Quest Info,,,"Craft plant fiber clothing to protect you from damage and keep you warm in cold weather. Gather plant fibers by attacking grass and small plants. Once you have the ingredients, access the Inventory and locate the Clothing category of the Crafting window. Craft plant fiber clothing."
quest_BasicSurvival5_description,Quest,Quest Info,,,"To wear your plant fiber clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window."
quest_BasicSurvival6_description,Quest,Quest Info,,,"A mysterious benefactor gifted you a locked crate of weapons long ago. You've now gained the knowledge to craft the key to open it. Gather stones, wood, plant fibers and feathers then open the crafting window and create a Rusty key.\n\nHow do these materials make a key? Yeah, we don't know either. Just go with it."
quest_BasicSurvival7_description,Quest,Quest Info,,,"Now that you've got some basic equiptment and weapons, it's time to take them for a test drive. Find and kill 2 zombies."
quest_BasicSurvival8_description,Quest,Quest Info,,,"Okay, so you got hit. That's okay. The main thing is that you're not dead... You are still alive, right? Great! Let's keep you that way. Gather some cotton and craft it into cloth, then use that cloth to make some basic bandages."
quest_BasicSurvival9_description,Quest,Quest Info,,,"By now, with all this gathering and fighting, you're probably feeling quite peckish. Let's make some food! Find a bone pile and gather 5 bones, then use those bones to make a basic bone knife."
quest_BasicSurvival10_description,Quest,Quest Info,,,"Now that you're equipped with your bone knife, find and kill 2 chickens and 2 rabbits, then use your bone knife to harvest meat from their corpses."
quest_BasicSurvival11_description,Quest,Quest Info,,,"Awesome, look at you being the hunter-gatherer of the apocalypse! Find some stones and build yourself a campfire. You'll also need some wood to burn as fuel. Once you've got a fire burning, craft up some charred meat. It's not much, but it will sustain you for the time being."
quest_BasicSurvival12_description,Quest,Quest Info,,,"So you've got some gear, some weapons, you've made a few bandages and you have something nice to eat... or, not nice, but it's something. Now is the time to put those skills of yours into practice. Find and kill any 10 zombies."
quest_WhiteRiverCitizen1,Quest,Quest Info,,,White River Citizen 1/2
quest_WhiteRiverCitizen2,Quest,Quest Info,,,White River Citizen 2/2
quest_WhiteRiverCitizen2_subtitle,Quest,Quest Info,,,Construct Your Base
quest_WhiteRiverCitizen2_description,Quest,Quest Info,,,"Now that you've got some basic equipment and you've met the locals, it's time to get settled. Gather wood and Craft Wooden Frames from the Basics category of the Crafting window.\n\nThese blocks can be used to create a rudimentary base, but you'll want to upgrade to concrete or steel later on."
